document,summary,,,,,,,,,,,,,,,,,
"The 32-year-old midfielder had trained alone or with the club's under-23s since Jose Mourinho was appointed United boss in the summer.
Former Germany captain Schweinsteiger last played for the Red Devils in March, when Louis van Gaal was manager.
He said in August he had ""no personal problems"" with Mourinho, and United will be his last club in Europe.
""It's great to see him back,"" said United left-back Luke Shaw. ""We found out the news a couple of days ago.
""He's a big influence in the dressing room and obviously on the pitch, especially for the young players like myself.""
It is unclear whether Mourinho will now consider Schweinsteiger for first-team action.
He was named in United's Premier League squad for this season, but left out of their Europa League squad.
Schweinsteiger has made 31 appearances for the club since his £14.4m move from Bayern Munich in July 2015.
Simon Stone, BBC Sport
Before Schweinsteiger can think about a return he still hoped for during the dark days of being forced to train on his own, he needs to know why Mourinho brought him back into the fold.
After all, he cannot play against Fenerbahce on Thursday because he is not in Mourinho's Europa League squad.
With Ander Herrera banned, Schweinsteiger is an option for United's Premier League trip to Swansea.
However, given he is so short of match practice, is that really an option? Or is Mourinho merely reminding potential January suitors that the 32-year-old still exists?",World Cup winner Bastian Schweinsteiger has returned to training with Manchester United's first team.,,,,,,,,,,,,,,,,,
"Radovan Krejcir was arrested on Friday at his home in Johannesburg on a charge of kidnap and assault.
His lawyers filed a court application, saying he needed medical attention and risked kidney failure.
Krejcir has repeatedly denied having links to the criminal underworld.
The police have been accused of reacting slowly to reports of his alleged involvement in the killing of underworld bosses, reports the BBC's Pumza Fihlani from Johannesburg.
A number of his associates have been killed in separate incidents in recent months, local media report.
In July, Krejcir survived an attempt to kill him carried out by guns hidden behind a car number plate operated by remote control opened fire on him in Bedfordview, a suburb east of Johannesburg.
Krejcir reportedly described the shooting as ""something out of a James Bond film"".
He is challenging the government's attempts to extradite him to the Czech Republic, where he was convicted in absentia last year on tax fraud charges.
He moved to South Africa in 2007.
Our correspondent says South Africans have been keenly watching Krejcir's extraordinary career over recent months and the series of gangland shootings and killings with which he is allegedly linked.
They are worried that it might show that a well-connected, sophisticated and violent underworld still exists on the streets of Johannesburg, she says.
On Saturday, police chief Riah Phiyega said Krejcir's arrest was a major breakthrough.
""There are many investigations that are taking place, even on the charges that the suspects have been arrested for. We hope to arrest more suspects as the investigations unfold,"" she told reporters in the capital, Pretoria.
She did not reveal details of the charges against him.
The police watchdog, the Independent Police Investigative Directorate (Ipid), said it had launched an investigation into Krejcir's claim that he had he had been tortured.
Police are accused of taking him to an open field where he was ""allegedly shocked with a taser and a plastic bag was placed over his head to suffocate him"", Ipid said in a statement.
The High Court in Johannesburg ordered that Krejcir be transferred to hospital after his doctor testified that his injuries were consistent with those of someone who had been assaulted.
He could face renal failure if he was not taken to hospital, the doctor said.
In his ruling, Judge Ramarumo Monama said the doctor was a credible witness.
""He has provided more than enough evidence,"" local media quotes the judge as saying.",A South African court has ordered that a Czech businessman accused of links to organised crime be moved from prison to hospital after claims he had been tortured by police with a taser gun.,,,,,,,,,,,,,,,,,
"The 34-year-old, who was born in Brazil but plays for Portugal, has been linked with Paris St-Germain and AC Milan and has ""had proposals from England"".
Pepe has made 334 appearances for Real, winning three La Liga titles and three Champions League trophies.
He missed Saturday's win over Juventus and added: ""I didn't say goodbye because they knew before I did.""
Pepe announced his departure in an interview with radio station COPE, and said he had not spoken to manager Zinedine Zidane since Madrid's Champions League final win in Cardiff.
""What he has done for Real Madrid is spectacular, but there are things I still do not understand,"" Pepe said.
The centre-back, who was injured for part of the season with a hamstring problem and then broke two ribs in April, fell behind both Raphael Varane and Nacho in the challenge to play alongside captain Sergio Ramos in the Madrid defence.
""I've had years of great pride in which I have given my body and soul,"" he said. ""But I took the decision in January when it was clear which way it was going.
""I'm happy for the love of the people, and that's worth more than everything.""","Defender Pepe is leaving Real Madrid after 10 years at the Spanish club, having decided in January to move on.",,,,,,,,,,,,,,,,,
"The unnamed woman had agreed Greater Manchester Police (GMP) could refer to her experience in a training session providing she remained anonymous.
However, she later learned her identity and medical history were disclosed to a wider audience.
GMP has apologised and said ""steps"" had been taken to stop similar occurrences.
The victim's solicitor said the payout was believed to be one of the biggest by a British force in a privacy case.
In a witness statement, the woman, who agreed to an out-of-court settlement, said she ""felt betrayed by GMP"".
The errors in this case by Greater Manchester Police almost beggar belief. Safeguarding victims is the most important priority in domestic violence police work.
Revealing a victim's identity, medical history and distressed 999 call, against their wishes, represents very grave mistakes. This episode is hardly likely to increase victims' confidence in the police.
The case also illustrates the use of part of the civil law that has principally been seen in cases involving celebrities whose privacy has been breached by newspapers.
'Misuse of private information' has been argued in a number of cases. It relies on a breach of Article 8 of the 1988 Human Rights Act; the right to respect for a private and family life.
The claimant has to establish they have a reasonable expectation of privacy in relation to the information concerned, and that privacy has been breached.
The media can argue the claimant's right to privacy is outweighed by the right to freedom of expression and that there is a public interest in publishing. The police have no such defence.
This case shows that Article 8 is not simply for celebrities and that public bodies, such as the police, can be sued if they breach it.
Nick McAleenan, from JMW Solicitors, described his client as a ""successful, professional woman"".
He said she ""suffered psychiatric harm"" after learning that her personal information was disclosed and that a tape of her 999 call following an assault was played at a training session.
He added that GMP had initially refused to accept it had done anything wrong and its internal investigation concluded that no officer had infringed the police code of conduct.
In May 2014, the force admitted breaching the woman's privacy but refused to acknowledge she had suffered distress or loss as a result which would entitle her to any damages.
Mr McAleenan said: ""This is information out there in the public domain. She can't put the genie back in the bottle and it's something that she is going to have to live with for the rest of her life"".
A GMP spokeswoman said it was ""an exceptional case"", adding: ""The force has taken action to protect the individual's information to prevent any issue in the future.""
She added: ""We have apologised to the woman involved... This was an unacceptable mistake; however, it was done with the best of intentions as part of training for partner agencies around recognising the signs of domestic abuse.""
A spokesperson from the domestic abuse charity, Women's Aid, said: ""Survivors of domestic abuse should be able to expect the highest standards from the police - and the police should be extremely careful when dealing with survivors.
""The survivor in question could have been put in a very dangerous situation; highly manipulative perpetrators of domestic abuse will stop at nothing to find out where their former partner is, or to gather information on them.""","A domestic abuse victim has received £75,000 from a police force after it revealed details of her treatment by a former boyfriend without her consent.",,,,,,,,,,,,,,,,,
"The Liverpudlian is second on 3,932 points, 40 behind leader and reigning champion Brianne Theisen-Eaton.
Johnson-Thompson has said her main aim this weekend is to get the 6,200 points needed for Rio.
She needs 2,268 points on Sunday in the three remaining events.
The 23-year-old began the day equalling her personal best of 13.37 seconds in the 100m hurdles and followed it up by clearing 1.92m in the high jump, a personal best outdoors.
After two events, Johnson-Thompson was in the overall lead but slipped to sixth following a disappointing 11.55m in the shot put - the worst mark in the field and 1.59m below the personal best she set earlier in the season.
She made amends for that poor display with a personal best 22.79 secs in the 200m, which pulled her closer to Canada's world silver medallist Theisen-Eaton.
Johnson-Thompson will start with the long jump on Sunday, the event which ruined her chances of gold at last year's World Championships following her failure to record a legal jump.
She said: ""I'm sure I'll be nervous again in the long jump. I really want to get a good jump in the first round.
""This is my first big competition especially after a knee operation last autumn so I just want 6,200 points and to be injury free and to be going home with my ticket for the Olympics.""
The Briton has also said her experience in Beijing changed her, created a ""new Kat"" who is determined to bounce back and quash her demons.
Her performances on the opening day in Austria promised much not only for this competition but the summer ahead.
Although she has repeatedly said Olympic qualification rather than regaining the title she won in 2014 is her priority this weekend, she looks set to vie with favourite Theisen-Eaton for first place.
And despite a poor display in the shot, her weakest event, Johnson-Thompson will take heart that she achieved her best heptathlon score of 6682 points in Gotzis two years ago, when her total after the opening day was also 3923.
The long jump, javelin and 800m remain on Sunday but fellow Brit Morgan Lake - adrift of her personal bests in all four events on the first day - is likely to fall short of the total needed for Rio.
Lake - recording 14.43 secs in the 100m hurdles, 1.86m in the high jump, 13.18m in the shot put and 26.12 secs in the 200m - is 29th overall.
British decathletes John Lane (4159 points) and Ashley Bryant (4121 points) are ninth and 13th respectively at the halfway stage in Austria, with the pair needing 8100 points to be selected for the Olympics.",Britain's Katarina Johnson-Thompson is on course to qualify for this summer's Rio Olympics after setting three personal bests on the opening day of the Hypo meeting in Gotzis.,,,,,,,,,,,,,,,,,
"Moelfre inshore lifeboat launched at about 11:00 BST, along with the local coastguard team and rescue helicopter from Caernarfon.
The lifeboat crew found the man in his forties clinging to his fishing kayak, having struggled to climb back on.
He showed signs of immersion and was transferred to Ysbyty Gwynedd in Bangor.
The man, who was wearing all the correct safety equipment, estimated he had been in the water for more than 15 minutes.
Lifeboat helm Alan Owen said the man was ""coughing heavily"" by the time they got him to the beach ""which is a clear sign of salt water ingestion"".
Mr Owen praised the multi-agency response, which he said resulted in a ""quick and efficient rescue"".",An RNLI crew came to the rescue of a capsized kayaker off Anglesey on Friday.,,,,,,,,,,,,,,,,,
"A ceremony, attended by PM Shinzo Abe, was held at Hiroshima's memorial park before thousands of lanterns are released on the city's Motoyasu river.
The bombing - and a second one on Nagasaki three days later - is credited with bringing to an end World War Two.
But it claimed the lives of at least 140,000 people in the city.
A US B-29 bomber called the Enola Gay dropped the uranium bomb, exploding some 600m (1,800ft) above the city, at around 08:10 on 6 August 1945.
On that day alone, at least 70,000 people are believed to have been killed. Many more died of horrific injuries caused by radiation poisoning in the days, weeks and months that followed.
People across Japan have observed a minute's silence to mark the anniversary. In Hiroshima a bell tolled at 08:15 local time - when the US aircraft dropped the bomb that flattened the city centre.
Addressing 40,000 people who attended the commemoration ceremony at Hiroshima's peace park near the epicentre of the 1945 attack, Mr Abe called for worldwide nuclear disarmament.
He said that that atomic bomb not only killed thousands of people in Hiroshima but also caused unspeakable suffering to survivors.
""Today Hiroshima has been revived,"" the prime minister said, ""and has become a city of culture and prosperity.
""Seventy years on I want to reemphasise the necessity of world peace.""
Mr Abe and Hiroshima Mayor Kazumi Matusi were joined by US Ambassador to Japan Caroline Kennedy for the official ceremony of remembrance on Thursday, which included silent prayers, the release of doves and a declaration of peace.
Mr Matsui described nuclear weapons as an ""absolute evil"" while urging the world to put an end to them forever.
""To coexist we must abolish the... ultimate inhumanity that is nuclear weapons. Now is the time to start taking action,"" he said in his annual speech.
Later in the day, thousands of paper lanterns will be released on the city's Motoyasu River - symbolising the journey to the afterlife of those who died.
The anniversary comes as divisions in Japan rise over Mr Abe's bid to pass unpopular legislation to expand the country's military role worldwide.
The 'sanitised narrative' of Hiroshima's atomic bombing
In pictures: The first atomic bomb",Residents in the Japanese city of Hiroshima are commemorating the 70th anniversary of the first atomic bomb being dropped by a US aircraft.,,,,,,,,,,,,,,,,,
"Biffa says that its crews found 93 people sleeping in rubbish last year.
It says the cameras, fitted to 140 of its 800 trucks, would remind staff to check bins before emptying them.
Last year four people sheltering in bins died when they were tipped into the back of trucks.
Biffa's Tim Standring told BBC Radio 4's You and Yours the cameras would give drivers extra ""peace of mind"" and that some vehicles would also record footage from inside hoppers.
The company was not spying on its staff, he said, saying the move was designed to protect them from the ""anguish"" of not realising a person had been inside the bin.
Mr Standring, the firm's divisional health, safety, environment and quality coach, said: ""If it's the only place you've got to stay and it's the most secure place I can kind of see the appeal, but the down side of it is if we don't find you, you're not going to survive.""
He added: ""Once you're in the hopper, the blade comes down and it crushes and breaks the waste and it will take it back into the body [of the vehicle] where it's compacted again.
""These machines won't differentiate between cardboard, wood and unfortunately people as well.""
Biffa hopes that all of its refuse lorries will have the new technology by the end of the year.
The company formed a partnership with the Chartered Institute of Waste Management and homelessness service StreetLink to raise awareness of the issue of people sleeping in bins.
The organisations carried out research last year that showed that 28 of the 176 waste management organisations surveyed reported finding people sheltering in bins over the previous 12 months.",One of the UK's biggest waste companies is fitting cameras to its vehicles in a bid to reduce the number of homeless people killed after sleeping rough in industrial-sized wheelie bins.,,,,,,,,,,,,,,,,,
"Prosecutors described the Paralympic athlete's punishment for killing his girlfriend Reeva Steenkamp in 2013 as ""shockingly lenient"".
At the hearing in Pretoria, Judge Thokozile Masipa said the petition had no reasonable prospect of success.
The state now has 21 days to take its case to the Supreme Court of Appeal.
Pistorius, 29, was given a five-year term for manslaughter in 2014, but was found guilty of murder last December after a prosecution appeal.
He shot Ms Steenkamp through a locked toilet door and said in his his defence that he mistook her for an intruder.
The judge said at the sentencing that she had deviated from the minimum 15-year sentence because of ""compelling personal circumstances"".
She said mitigating circumstances, such as rehabilitation and remorse, had outweighed aggravating factors, such as his failure to fire a warning shot.",South African state prosecutors have failed in their bid to challenge the six-year sentence for murder handed down to Oscar Pistorius.,,,,,,,,,,,,,,,,,
"The Gobbins coastal path in Islandmagee was the brainchild of Irish railway engineer Berkley Deane Wise.
It first opened in 1902 and quickly became famous as a white knuckle walk.
Edwardian era visitors were able to have a close encounter with waves and wildlife.
The path, which is carved into black basalt cliffs, was an engineering triumph - it's connected by a network of walkways and bridges - the most iconic of which was the tubular bridge.
Post-war austerity spelt decline for the 1.5 mile walkway and it was closed to the public in the 1950s.
Since then only seabirds have enjoyed the stunning views from this part of our coastline.
Rumblings down the years about restoring the path finally turned into action in 2013, when the restoration project got under way.
Since then, £7.5m has been spent replacing bridges, hand rails and constructing a new visitors centre.
The tubular bridge has been replaced with an almost identical replica.
While modern engineering methods have made the work safer, construction worker Paul Montgomery says he has an enhanced respect for those who built the original path.
""They did an immense job, because the beams I have seen from the old bridges were concrete cased and to get them down here would have been a feat in itself as there were no cranes in those days,"" he said.
""So I have a lot of respect for them.""
While health and safety is more of a concern nowadays some things have not changed, including the steep walk down to the starting point - a hole through rock known as Wise's eye.
Before starting the Gobbins experience, visitors are given a safety briefing and a hard hat in the visitors centre, it's then on to a minibus for the two-mile journey to the path.
The walk is described as strenuous and is not suitable for everyone.
No-one under the height of 1.2m will be permitted, a good level of fitness is required and people with cardiac, respiratory, asthmatic or joint conditions are urged not to attempt it.
The route allows visitors to see coastal birds such as puffins, guillemots and kittiwakes up close. It's also possible to spot porpoises off the coast.
This attraction has created some much needed employment in the area and one of the tour guides is Robert Stewart, a local farmer who has decided to try something new.
""I'm very enthusiastic about my new job,"" he said.
""Everybody knows about the Giant's Causeway but I think we have something here that can compete with the Giant's Causeway and is just as beautiful.""
Groups of 10 to 15 will be guided along the bridges which cling to the cliff face just metres above the sea.
Tours should be booked in advance and the costs are £8.50 for adults, concessions £6 and a family rate of £23.
There will also be a cliff top walk which will be free for the public and has a viewing platform that hangs over the cliff.  This element of the work is not expected to be complete until September.
The project is over a year late and £1.5m over budget, but Mid and East Antrim Council has big hopes for the attraction and is expecting 50,000 visitors a year.
Tourism Minister Jonathan Bell, who walked the path on Tuesday, said it was ""staggeringly beautiful"".
""It is something that you could bring visitors from anywhere in the world to and be very proud of the quality of the tourism offering,"" he said.
""Having done it, I think it represents real value for money and puts Northern Ireland with another - and I genuinely mean this -  top quality, international tourist destination.""
The council's mayor Billy Ashe said it was fantastic for the area.
""I think that first and foremost it will put us back on the map,"" he said.
""Berkley Deane Wise thought that this path could be one of the world's attractions - I agree with him.
""I think people will be coming here for many, many, many years to feast their eyes on this marvellous achievement.""",A dramatic cliff face walk in County Antrim that was built more than a century ago has reopened to the public after multi-million pound revamp.,,,,,,,,,,,,,,,,,
