,document,summary
250,"The 25-year-old has agreed a three-year contract at the Madejski Stadium.
His arrival comes after it was revealed veteran striker Yann Kermorgant will miss the start of the season following surgery on his hip and groin.
Bodvarsson joined Wolves from Kaiserslautern last summer, scoring three goals in 48 appearances.
""Jon is the type of player who can play in our system and he is able to play in a number up different positions within that system too - up front as a central striker, as one of a two or as a winger,"" Royals boss Jaap Stam told the club website.
""He's a strong runner, he's tall but he's very comfortable on the ball, he's got some pace, so he's definitely a player who will be a useful addition to our squad.""
Find all the latest football transfers on our dedicated page.",Reading have signed Iceland international striker Jon Dadi Bodvarsson from Championship rivals Wolves for an undisclosed fee.
251,"But Belgian-born Dutchman Max Verstappen was unable to drive a car legally on his own in either country.
That all changed on Wednesday when the youngster turned 18 and passed his driving test at the first attempt.
Despite having competed in 14 grands prix since his debut in Australia in March, Verstappen admitted to feeling the pressure during his test.
""It's a relief,"" said the Toro Rosso driver, who finished ninth in Japan on Sunday and had only started driving lessons a week ago. ""I was a bit nervous to make mistakes, but the exam went well.""
A bonus of turning 18 is that Verstappen will now be able to drink the champagne if he ever makes it onto the podium.",He is Formula 1's youngest ever driver and in charge of a car that can reach over 200mph.
252,"European leaders gathered in the Polish port of Gdansk for a midnight ceremony at the site where the first shots of the war were fired.
The Gdansk commemoration was seen as a slight to Russia's Victory Parade on Saturday, which has been boycotted by Western leaders because of Ukraine.
There will also be ceremonies in Paris, London, Berlin, as well as Washington.
The commemoration in Gdansk was marked with a 21-gun salute on the stroke of midnight. Beams of light illuminated a monument to Polish defenders in Westerplatte and the national anthem was played.
In a speech, Poland's President Bronislaw Komorowski said the war had started with the co-operation of two totalitarian regimes led by Hitler and Stalin.
He went on to say that the victory over Nazi Germany in 1945 did not bring freedom but instead communism and the Iron Curtain. Such division finally ended, the president said, with the integration of the region into the European Union.
The event was attended by the UN Secretary General Ban Ki-moon and the presidents of several countries including Bulgaria, the Czech Republic, Estonia, Lithuania, Romania and Ukraine.
But many other Western leaders - who are boycotting Moscow's event and for whom the Gdansk commemoration was partly organised - did not attend.
Among those in Gdansk was Ukraine's President Petro Poroshenko who said it was possible to draw parallels from history and the current situation in Europe.
""Annexation and invasion, under the pretext of defending ethnic minorities... could all become the new reality,"" he said.
Relations between Russia and the West have been soured by Russia's annexation of Ukraine's southern Crimea peninsula last year and support for rebels in Ukraine's eastern Donetsk and Luhansk regions.
Moscow denies it is arming the rebels and sending troops across the border.
Russia, which lost more citizens to the war than any other nation, will stage its biggest-ever military parade during its Victory ceremony in Moscow's Red Square on Saturday.
Later on Friday, there will be a ceremony in Germany where President Joachim Gauck will lay a wreath at a cemetery for Soviet soldiers. The German parliament will meet in special session.
In London, a remembrance service will be held at the Cenotaph and 200 beacons will later be lit across the country.
In France, where VE (Victory in Europe) Day is a national holiday, President Francois Hollande will lay a wreath at the tomb of the unknown soldier at the Arc de Triomphe in Paris.
In the US, a ceremony will be held at the national World War Two memorial in Washington followed by a flypast of vintage fighter planes.
It was on 8 May 1945 that Allied forces accepted the unconditional surrender of Nazi Germany, marking the end of the war in Europe. But it was not the end of WW2. It would take another three months before Japan surrendered.",Events are being held across Europe to mark the 70th anniversary of the end of World War Two on the continent.
253,"The midfielder, 27,  has been inundated with messages of congratulations on social media following the birth of Raine on Friday night.
Chairman of AFC Bournemouth Jeff Mostyn was among the first to congratulate Arter and his partner Rachel, tweeting: ""Thrilled with the incredible news.""
Their daughter Renee was stillborn in December 2015.
AFC Bournemouth also congratulated Arter on the news, tweeting: ""From one family to another, congratulations.""
Arter responded to the support on Twitter, saying: ""Thank you to everyone for all of your kind messages"", adding an emoji rainbow and a heart.
""Rainbow baby"" is a phrase used by some parents who have lost a child through a miscarriage or stillbirth as they compare their subsequent child to a beautiful sight after a storm.
TV cameras caught an emotional moment after Bournemouth's match against Manchester City on Monday when City manager Pep Guardiola embraced Arter and offered his best wishes for the imminent birth.
Arter said at the time: ""He's someone I have massive respect for. I watched his Barcelona teams and he is, without doubt, the best manager in the world.""
Messages have also been sent to the couple from numerous other clubs and fans.
Leeds United's Liam Cooper tweeted: ""Congrats mate"", while a section of the club's fans tweeted: ""Lovely to see the football world come together to congratulate you - congrats Harry.""
Elsewhere, Stourbridge Wolves tweeted: ""Fantastic news, congratulations from all Stourbridge FC fans.""",Bournemouth's Harry Arter has thanked well-wishers for their kind messages after the birth of his daughter.
254,"The former Northern Ireland international, who died last week, was remembered with a minute's applause and a video tribute following a career that saw him score more than 140 goals for the club.
On the pitch, however, the Bantams were looking for a response to the loss at Roots Hall and they started in positive fashion.
Mark McNulty and Nicky Law each had shots deflected for corners and Bradford twice appealed in vain for a penalty, with Hanson and McNulty both going down inside the area to no avail.
The hosts continued to press after the interval as Haris Vuckic and Law went close before the home side's pressure paid off in the 56th minute.
Vuckic's overhit cross from the right was kept in play by Mark Marshall, who clipped the ball into the area where Hanson scored with a header from close range.
However, Northampton came close to equalising when only a brilliant one-handed save by Colin Doyle kept out Alex Revell's header from Paul Anderson's cross, before substitute Marc Richards had the ball in the net in the 84th minute only to be ruled offside.
Report supplied by Press Association.
Match ends, Bradford City 1, Northampton Town 0.
Second Half ends, Bradford City 1, Northampton Town 0.
John-Joe O'Toole (Northampton Town) is shown the yellow card.
Romain Vincelot (Bradford City) wins a free kick in the attacking half.
Foul by Alex Revell (Northampton Town).
Nicky Law (Bradford City) is shown the yellow card.
Foul by James Hanson (Bradford City).
John-Joe O'Toole (Northampton Town) wins a free kick in the attacking half.
Substitution, Bradford City. Rory McArdle replaces Josh Cullen.
Substitution, Northampton Town. Alfie Potter replaces Paul Anderson.
Attempt missed. Alex Revell (Northampton Town) right footed shot from outside the box is too high.
Josh Cullen (Bradford City) wins a free kick on the right wing.
Foul by Raheem Hanley (Northampton Town).
Foul by Filipe Morais (Bradford City).
Matthew Taylor (Northampton Town) wins a free kick on the right wing.
Josh Cullen (Bradford City) wins a free kick on the left wing.
Foul by Marc Richards (Northampton Town).
Substitution, Bradford City. Jordy Hiwula-Mayifuila replaces Marc McNulty.
James Meredith (Bradford City) wins a free kick in the defensive half.
Foul by Paul Anderson (Northampton Town).
Attempt saved. Josh Cullen (Bradford City) right footed shot from outside the box is saved in the centre of the goal.
Filipe Morais (Bradford City) wins a free kick on the right wing.
Foul by David Buchanan (Northampton Town).
Corner,  Bradford City. Conceded by David Cornell.
Attempt blocked. Filipe Morais (Bradford City) right footed shot from outside the box is blocked.
Corner,  Bradford City. Conceded by David Cornell.
Attempt missed. Mark Marshall (Bradford City) right footed shot from outside the box is close, but misses the top left corner from a direct free kick.
Josh Cullen (Bradford City) wins a free kick in the attacking half.
Foul by Paul Anderson (Northampton Town).
Corner,  Bradford City. Conceded by Paul Anderson.
Attempt missed. Marc Richards (Northampton Town) header from the left side of the six yard box is close, but misses to the left.
James Hanson (Bradford City) wins a free kick on the right wing.
Foul by Rod McDonald (Northampton Town).
Foul by Filipe Morais (Bradford City).
John-Joe O'Toole (Northampton Town) wins a free kick in the attacking half.
Delay over. They are ready to continue.
Delay in match Alex Revell (Northampton Town) because of an injury.
Attempt saved. Alex Revell (Northampton Town) header from the centre of the box is saved in the bottom left corner.
Foul by James Hanson (Bradford City).
David Buchanan (Northampton Town) wins a free kick in the defensive half.","James Hanson was the match winner as Bradford bounced back from Saturday's defeat at Southend with a hard-earned home win over Northampton, on a night when the club paid tribute to their record goalscorer Bobby Campbell."
255,"The ""truly wicked, marauding mob"" stabbed Sean McHugh, 19,  with a ""sword stick"" in Anfield on 30 September 2013.
Reese O'Shaughnessy, 19, was jailed for a minimum of 18 years after he was convicted alongside four others.
Andrew Hewitt, 15, Keyfer Dykstra, Corey Hewitt and Joseph McGill, all 14, were also detained by Liverpool Crown Court.
Dykstra was sentenced to a minimum of 12 years, Andrew Hewitt and McGill were sentenced to a minimum of nine years and Corey Hewitt for a minimum of six years.
Judge Clement Goldstone described Mr McHugh's killers as ""a marauding mob"".
""Each of you has been convicted of the murder of Sean McHugh - a truly wicked attack in which each of you played different roles,"" Justice Goldstone said.
A victim impact statement from Mr McHugh's mother Lorraine that was read in court said: ""They might as well have killed me.""
The teenagers were part of a gang known as the Lane Heads, a rival gang to the Walton Village Heads which Mr McHugh was linked to.
Months earlier, Dykstra was stabbed in the chest by a member of the Walton Village Heads and wanted to ""avenge that stabbing"", the court heard.
""The stabbing was avenged not by attacking the person responsible, but by attacking someone... by virtue of his affiliation to the Walton Village Heads,"" Justice Goldstone said.
The gang targeted Mr McHugh, of Beckett Street, Liverpool, after a minor dispute and found him at the Priory Road launderette, where he had left his washing, at about 19:00 BST.
Armed with knives and the makeshift sword stick, described as similar to a broom handle but with a blade attached, the gang forced the back door to the room where Mr McHugh was hiding.
He was beaten and stabbed before the group ran out.
Mr McHugh escaped and was found in an alleyway having been stabbed in the groin. He died a few days later in hospital from blood loss.",Five teenagers who murdered a man in a Liverpool launderette when some of them were 13 years old have been sentenced.
256,"Serial burglar Darren February, 34 and of no fixed address, denies breaking into Mr Cowell's west London home while he was asleep in December 2015.
Isleworth Crown Court heard traces of Mr February's DNA was discovered on a glove found dropped nearby.
It was also found on a mark on the side of the entrance steps, the court heard.
A forensic expert said the discovery meant it was possible that the defendant, who has been convicted of 37 burglaries, wore the gloves to steal a diamond ring, earrings and watches, before discarding them near the Holland Park home.
Traces of other people's DNA were also found on the items tested, expert Sara Short said.
In their report Ms Short and Rachel Pollard found that while ""one possible explanation is that he had worn the gloves and discarded them"" on 4 December, 2015, they could not conclusively state that he had ""handled, worn or had direct contact with the gloves or had contact with the area (on the wall).""
In cross examination, Ms Short agreed it was possible the defendant's DNA could have been transferred on to the gloves without him having worn them.
But she agreed with prosecutor Denis Barry who suggested it would be unlucky for the defendant to have his DNA transferred to and found at the scene, if he had never been there or committed the crime.
The court heard from a police officer who said he initially thought a man who broke in to the home of singer Rita Ora was pictured on CCTV from Mr Cowell's address.
Two other officers said they had been able to identify Mr February from images captured at the scene.
The trial continues.","DNA of a man accused of stealing Â£1m worth of jewellery from Simon Cowell's house was found on a glove at the music mogul's home, a court has heard."
257,"Media playback is not supported on this device
The Dons took the lead when Jonny Hayes' corner landed at the near post, with Caley Thistle's Gary Warren deflecting in Ash Taylor's shot.
Greg Tansey headed wide for the visitors, while Hayes, Kenny McLean and Niall McGinn all missed for the Dons.
Miles Storey should have made it 2-0 but somehow got the ball caught under his feet on the goal line.
The result moves Aberdeen 13 points clear of third-placed Rangers, with the two sides set to meet on Sunday at Pittodrie.
Aberdeen may have been unable to mount a serious title challenge this season, but they are still on course for a record points tally after surpassing the run of home wins set by Sir Alex Ferguson's side in 1986.
They now need 12 points from the last seven matches to do that, but an overall run of 12 victories in their last 14 Premiership matches suggests they are up to the task.
Aberdeen impressed with their pace, intensity and variety of movement going forward in the first half, but the defence remains equally effective as they have now gone 531 minutes without conceding a goal.
Of course this was another painful night for Caley Thistle manager Richie Foran in what has been a steep learning curve for the Dubliner in his first season in the job.
No team in British senior football have won fewer league matches than the Highlanders this season and, while they are not yet entirely cut adrift at the bottom, time is fast running out to turn things around.
The sight of five former Caley Thistle players in such an impressive Dons squad was compounded by the knowledge that current top league marksman Greg Tansey is moving to Pittodrie in the summer.
The midfielder is desperate to leave with the club still in the Premiership, but he missed one of their best chances of the evening when he headed a Henri Anier cross over the bar from six yards in the first half.
The real disappointment for Foran, though, will be that the goal they conceded was a gift for Aberdeen.
It was poor marking by the Caley Thistle defence as Dons pair Taylor and Andrew Considine contested a Hayes corner, the ball eventually deflected in by captain Warren off Taylor's strike.
Despite a battling performance, Caley Thistle simply could not find a way back into the match.
They did have a late let off, though, when former Inverness player Storey had an incredible miss when he failed to convert from point-blank range after a Hayes shot came off the post.
Aberdeen manager Derek McInnes: ""We didn't have the same rhythm or flow to our game as we normally have, but there were a number of factors for that as we had the game in our pocket but didn't know whether to stick or twist.
""We are delighted to get the 10th home win on the bounce for the first time since that great Aberdeen side in 1986 with so many top players and a top manager in Sir Alex Ferguson.
""That keeps the distance between us and Rangers and we just look forward to playing them here on Sunday now but we have a lot of hard games left.""
Inverness CT manager Richie Foran: ""We had chances to go one up but we didn't take them then we give a goal from a set-piece which was really disappointing.
""We work hard on defending those so it was a sloppy goal to give away and Aberdeen looked more confident than we did.
""We are not going to be judged on games against Aberdeen though. We have seven must win games left and I believe we can still get enough points to get out of trouble.""
Match ends, Aberdeen 1, Inverness CT 0.
Second Half ends, Aberdeen 1, Inverness CT 0.
Attempt blocked. Billy McKay (Inverness CT) right footed shot from outside the box is blocked.
Corner,  Aberdeen. Conceded by Alex Fisher.
Hand ball by Greg Tansey (Inverness CT).
Substitution, Inverness CT. Alex Fisher replaces Kevin McNaughton.
Corner,  Inverness CT. Conceded by Andrew Considine.
Corner,  Aberdeen. Conceded by Gary Warren.
Attempt blocked. Ash Taylor (Aberdeen) right footed shot from the right side of the box is blocked.
Substitution, Aberdeen. Ryan Christie replaces Niall McGinn.
Substitution, Aberdeen. Miles Storey replaces Adam Rooney.
Attempt missed. Graeme Shinnie (Aberdeen) header from the centre of the box is close, but misses to the left.
Niall McGinn (Aberdeen) wins a free kick on the left wing.
Foul by David Raven (Inverness CT).
Attempt missed. Niall McGinn (Aberdeen) left footed shot from outside the box is just a bit too high.
Attempt blocked. Liam Polworth (Inverness CT) right footed shot from outside the box is blocked.
Attempt saved. Larnell Cole (Inverness CT) right footed shot from outside the box is saved in the centre of the goal.
Corner,  Aberdeen. Conceded by Owain Fon Williams.
Attempt saved. Graeme Shinnie (Aberdeen) header from the centre of the box is saved in the top left corner.
Corner,  Inverness CT. Conceded by Andrew Considine.
Substitution, Inverness CT. Dean Ebbe replaces Henri Anier.
Shaleum Logan (Aberdeen) wins a free kick on the left wing.
Carl Tremarco (Inverness CT) is shown the yellow card for a bad foul.
Foul by Carl Tremarco (Inverness CT).
Corner,  Aberdeen. Conceded by Kevin McNaughton.
Attempt blocked. Ryan Jack (Aberdeen) right footed shot from the centre of the box is blocked.
Substitution, Inverness CT. Larnell Cole replaces Ross Draper.
Foul by Andrew Considine (Aberdeen).
Greg Tansey (Inverness CT) wins a free kick in the attacking half.
Corner,  Aberdeen. Conceded by Gary Warren.
Jonny Hayes (Aberdeen) wins a free kick on the left wing.
Foul by Kevin McNaughton (Inverness CT).
Attempt missed. Niall McGinn (Aberdeen) right footed shot from outside the box is just a bit too high from a direct free kick.
Graeme Shinnie (Aberdeen) wins a free kick in the defensive half.
Foul by Ross Draper (Inverness CT).
Corner,  Inverness CT. Conceded by Joe Lewis.
Attempt saved. Liam Polworth (Inverness CT) right footed shot from outside the box is saved in the bottom left corner.
Jonny Hayes (Aberdeen) wins a free kick in the attacking half.
Foul by Ross Draper (Inverness CT).
Attempt blocked. Kenny McLean (Aberdeen) left footed shot from outside the box is blocked.",Aberdeen made it 10 home league wins in a row with a slim victory over Inverness Caledonian Thistle.
258,"They were found wounded at a property in Elmshurst Crescent, East Finchley at about 06:25 BST.
The Metropolitan Police named the two victims  - said to have moved to the UK from Congo in central Africa - as Anny Ekofo, 52, and her nephew Bervil Ekofo, 21.
Mr Ekofo's mother said she had lost her ""life"" and her ""best friend"".
Maymie Botamba said: ""He was my life, they have taken my life away. He was my best friend.
""He was so lovely and kind to everyone, always surrounded by girls. He had never been in trouble before, he had never been in a fight in his life.""
The Met's homicide and major crime command unit is investigating.
Mrs Ekofo's cousin, Fifi Selo, said the family was in shock and ""cannot explain what happened"".
""They were an amazing family. Anny was the kind of person who was a mum to everybody. She always brought everybody together.""
Both victims were pronounced dead at the scene, police said.
Local resident Lizzy Holsgrove said: ""About 20 police cars and four or five paramedic cars, and three ambulances sped past my window.
""They cordoned off the street very quickly and police were sprinting from the top of the road where they'd stopped.
""There had been screaming before the police arrived.""",Two people shot dead at a north London flat have been named locally as a mother of nine and her nephew.
259,"Typhoon Phanfone has killed at least one person, a US airman on Okinawa who was washed away by high waves.
Thousands of households have lost power and Japan's two largest airlines have suspended many flights.
The storm also forced the suspension of the search for people missing after last week's volcanic eruption.
The storm-tracking website Tropical Storm Risk forecasts that Phanfone will rapidly lose power over the next few hours as it goes further into the Pacific Ocean.
Typhoon Phanfone was downgraded from an earlier status of a super typhoon, but the Japan Meteorological Agency had warned it was still a dangerous storm.
Japan averages 11 typhoons a year, according to its weather agency.
The typhoon made landfall on Monday morning near the central city of Hamamatsu, with winds of up to 180 km/h (112 mph).
The airman was one of three US military personnel swept away by high waves whipped up by the typhoon off southern Okinawa island, where the US has a large military base. The remaining two are still missing.
A police spokesman said they had been taking photographs of the sea.
A university student who was surfing off the seas of Kanagawa Prefecture, south of Tokyo, was also missing, national broadcast NHK reports. It said at least 10 people had been injured and 9,500 houses were without power.
The storm was expected to deposit about 100mm of rain on Tokyo over 24 hours, according to the Transport Ministry website.
Many schools were closed on Monday and two car companies in Japan halted production at some plants ahead of the storm.
More than 174 domestic flights were affected nationwide, NHK state broadcaster said on Sunday.
On Sunday, heavy rain delayed the Japanese Formula One Grand Prix in Suzaka. French driver Jules Bianchi lost control in the wet conditions and crashed, sustaining a severe head injury.",A powerful typhoon has brought many parts of Japan to a standstill and briefly battered Tokyo before heading out to sea.
260,"He was brought in to Aberdeen Royal Infirmary by an offshore rescue helicopter from BG Group's North Everest platform, 145 miles east of Aberdeen.
Aberdeen Coastguard, which co-ordinated the operation, said it was alerted at 11:30 on Sunday.
There are no further details on his condition.",An oil worker has been airlifted to hospital after becoming ill on a North Sea oil platform.
261,"And not just the ecstasy of Salford Red Devils' 19-18 golden-point win in the Million Pound Game, but also the despair of beaten opponents Hull KR.
If anything, it was reaction of the Hull KR players and their families that made the biggest impression on Kopczak.
""To see the wives and the families of the opposition crying and upset wasn't nice,"" he told BBC Wales Sport.
""It's not a nice position to be in and I wouldn't recommend it.
""You couldn't really celebrate and it was more a case of job done and get out of there.""
And that after securing the most important win in the history of the club, who had been within minutes of losing their Super League status.
For the defeated Robins, it meant relegation and an uncertain future for the club's players, with contracts under threat.
With so much at stake in one end-of-the season match, the Million Pound Game has been criticised since its introduction in 2015.
Media playback is not supported on this device
Hull KR's Ben Cockayne described the concept as ""a disgrace"" and said it hurt the Rugby Football League's efforts to promote good mental health.
Salford looked destined for relegation as the highly charged game at the Lightstream Stadium drew to a close.
They trailed 18-10 with two minutes left but Niall Evalds' try and Greg Johnson's score with the last play of normal time levelled the scores.
Gareth O'Brien's drop-goal in golden-point extra time secured victory to save his side from the drop to the Championship.
""At one stage I thought it was all over, but credit to the boys they dug deep and found a way to win,"" added Kopczak, who was among the Salford replacements.
""It's not good for the players but it is what it is. You've got to do it and someone's got to go down.
""Hopefully next season I'm not in that situation again. We've got a great bunch of lads and we shouldn't really have been in that situation.""
With Salford's Super League status secured, Kopczak's focus is now on another challenge - captaining Wales' attempt to reach the 2017 Rugby League World Cup.
Wales, who won the European Championship in 2015, have qualifiers against Serbia at Llanelli's Stebonheath Park on Saturday and away to Italy on 29 October.
""We've got two tough games and it's going to be interesting,"" Kopczak said.
""But the boys are really up for it and we want to build on the success of last year.""
John Kear's side will face Serbia and Italy without Wigan's Ben Flower and Rhys Evans of Warrington Wolves, who are unavailable after playing in the Grand Final.
Tyson Frizell, capped five times by Wales, is also unavailable having been included in Australia's squad for the Four Nations.
But Kopczak says his own Super League experience, as well as that of Salford team mate Phil Joseph and Widnes pair Gil Dudson and Lloyd White, will help Wales.
""It's for us to lead from the front and get ourselves in a great position to start with and kick on from there,"" Kopczak said.
""We'll focus on ourselves, get the job done right and aim for the World Cup.""",Craig Kopczak leads Wales into their World Cup qualifiers against Serbia and Italy this month with the extraordinary drama of his club's Super League survival fresh in his memory.
