document,summary
b'officials of the cabinet-level fair trade commission -lrb- ftc -rrb- said friday that they have formed an ad hoc group to investigate whether there is any manipulation of commodity prices by traders in local market .',b'fair trade commission investigating consumer price hike'
"b""five people were killed , and a woman gravely wounded , following a lethal shootout at a nightclub in cali , colombia 's third largest city , local authorities said monday .""",b'colombian nightclub shootout leaves five dead'
"b'preliminary dna testing on remains of ## red army soldiers uncovered at a soviet-era war memorial will be conducted in russia and ukraine , reports from the estonian capital of tallin said wednesday .'",b'estonia provides red army soldiers dna samples for russia ukraine'
"b""transocean inc. , the world 's largest offshore drilling contractor , said monday it will combine with smaller competitor globalsantafe corp. , creating a company with a full range of offshore drilling services in the world 's key markets .""",b'transocean globalsantafe plan to combine to create new oil drilling heavyweight'
"b'palestinian president mahmoud abbas will make a working visit to malaysia starting from may ## to ## , malaysian foreign ministry said here on tuesday .'",b'palestinian president to visit malaysia on may ##'
b'german engineering giant siemens said tuesday it would pursue former directors for damages in an unprecedented action based on a claim they ignored widespread corruption revealed nearly two years ago .',b'siemens weighs legal action against former executives'
"b""a joint metallurgy group has been set up by three companies in this , china 's largest industrial city .""",b'shanghai sets up metallurgy group enterprise'
"b'the number of u.s. service members who have died in iraq since the war began last march reached ### on saturday after a roadside bomb detonated north of baghdad , killing three u.s. soldiers and two iraqi civil defense troopers .'",b'three u.s. soldiers killed north of baghdad military says bringing total to ### since war began'
"b'syrian refugees displaced from the israeli-occupied golan heights celebrated the end of ramadan on saturday , visiting relatives and taking their children for rides on a mini ferris wheel set up in an empty lot .'",b'displaced syrians hope to return'
"b""there 'd been precious little forage for carnivores down at the bottom of broad street till dick cheney rode the meat wagon onstage .""",b'cheney delivers meat to the hungry'
"b""hong kong 's hang seng china enterprises index fell ##.## points , or #.## percent , to close at #,###.## monday .""",b'hang seng china enterprises index down'
"b'southwest airlines , defying the headwinds of an airline crisis , said monday it had boosted profits in the first quarter of #### as all its competitors lost .'",b'southwest airlines boosts profits defying us crisis'
