summary,text
much darkness come miracle,synopsis daily trek juarez mexico paso texas ever increasing number female workers found raped murdered surrounding desert investigative reporter karina danes arrives los angeles pursue story angers local police factory owners employee undocumented aliens pointed questions relentless quest truthher story goes nationwide young girl named mariela survives vicious attack walks desert crediting blessed virgin rescue story enhanced wounds christ appear palms also claims received message hope virgin mary soon fanatical movement forms around fight evil holds stranglehold areacritique possessing lifelong fascination esoteric matters catholic mysticism miracles mysterious appearance stigmata immediately attracted dvd release virgin juarez film offers rather unique storyline blending current sociopolitical concerns constant flow mexican migrant workers back forth across yousmexican border traditional catholic beliefs hispanic population must say quite surprised unexpected route taken plot means methods heavenly message unfoldsvirgin juarez film would care watch interesting enough merit least one viewing minnie driver delivers solid performance ana claudia talancon perfect fragile innocent visionary mariela also starring esai morales angus macfadyen
worthwhile important story hampered poor script production,virgin juarez based true events surrounding crime problems juarez mexico reflected gringo exploitation businesses neighboring paso texas story contains many important facts desperately need brought light impact film falters choices made writer directorkarina danes journalist los angeles newspaper flown juarez investigate multiple killings young women targets murders seem young women working sponsored sweatshops juarez picked night work raped beaten killed danes convinced juarez police force nothing takes mission exposing tragedies part due past issues idle similar crimes meets father herrera community activist patrick together probe police files follow recent murder discovering along way survivor named mariela frightened young girl whose memory rape beating erased apparent vision virgin mary father one victims isidro nurtures mariela helps escape hospital placing church becomes aint people juarez long crimes end mariela appears public stigmata bleeding hands offers hope victims families danes works hard discover evidence expose perpetrators taking sheet photos wanted men police office detective lauro works police father herrera resolve tragic chain events continue juarez fearing mariela life transport los angeles mysterious events end storythe squeaky mawkish script written michael fallon directed kevin james dobson vision directed toward defining line realism fanaticism story would possibly better related good performances driver talancn morales vargas minor roles vary quality reporting atrocities one film addresses valid valuable contribution contemporary cinema sad script production dull impact grady harp june
movie needed made,scenes film disquieting due graphic reenactment real events story needs told say violence injected movie much taste manageable dealing rape scenes etc inspired true events women murdered juarez leave factory work fearful community suddenly given hope one young victims lives experiences tigmata seeing virgin mary shocked learn murders juarez still happening many unsolved believe director brought important story surface though never pleasant think young women murdered movie depicts harsh reality high cost exploitedcheap laborchrissy mcvay author
distantly based real tragedy,virgin juarez directed kevin james dobsonapprox hour minutesthe town juarez chihuahua mexico across border paso texas home several factories owned american companies employ mexicans low wages since early 1990s juarez also murder site hundreds women lot debate whether deaths work drug gang serial killer also suggested due local police department failure solve crimes new rapists thugs moved area knowing never caught situation overwhelming tragedy movie uses story backdropwe start seeing unsafe women feel walk work juarez meet hardheaded american journalist played minnie driver aggressively questions local police befriends catholic priest within first twenty minutes see terrifying reality situation juarezat point story jumps something might happened something found movie woman named mariela survives brutal attack critical condition small hospital priest speaking let howl hands begin bleeding stigmata meant show blessed virgin mary reporter protagonist clashes various authorities done meanwhile mariela goes underground attracts devoted following eventually landing radio show living protection gang members refers modern warriors thing missing jess malverdenow understand know everything juarez murders screenwriter fill blanks crafting exciting dramatization however going deviate far true story preface movie based ongoing unsolved murders cuidad juarez plenty interesting legitimate information real stories juarez need fabricate movie may raise issue juarez women really allif interested learning killings juarez documentaries recent one las perlas del mar films simply titled juarez good introduction zulma aguiar juarez mothers fight femicide also easy find another one seen titled border echoes note hollywoodthe nails crucified jesus wrists palms
going juarez shining light,informationally showtime original essential viewing enlightening audiences dangerous plight women migrant workers los angeles routinely mysteriously murdered border juarez mexico paso texassince 1993 hundreds woman turned dead mutilated one seems either care answer fear death continuedirector kevin dobson brought michael fallon screenplay virgin juarez screen fancifulpossible solution may happening juarezthough film information unsolved murders religious fanaticism area crucialsuggested companion film would agnes god
pretty pointless fictionalization,murders juarez real movie badly acted fantasy revenge holy intercession good movie juarez know one
junk stay away,mexican men macho rapists gangsters ineffective bureaucrats mexican women semipagan pious fools selfserving corporate types even pushy culturallyinsensitive liberal female reporterthe story absurd characters unbelievable stereotypes offensive
rock roll history lesson,past years public television put series vintage doo wop rock roll concert reunions absolutely flawless latest dvd rock rhythm doo wop total delight ones ears keep mind vintage artists recorded era vocal talent essential get recording contract modern day computerized overdub technology enables many modern day artist limited ability survive dvd reads like early rock architect rock little richard starts concert stomping version keepa rockin lineup follows keeps concert premium level performances get see hear lou christie little anthony imperials jerry butler lloyd price joey dee starliters frankie valli fred paris satins countours name however nothing prepared performance jay black americans singing magic moment jay gave performance could make anybody babyboomer era feel young prepared sing cara mia joked first recorded song age must age hit notes hit notes using opera trained voice delivered powerful performance entire audience feet showering well deserved standing ovation fan oldtime vocal rock sound absolute must dvd highly recommend everyone enjoys golden oldies
musthave video grew,recvd video christmas gift put see like finally got dragged bed 430 morning best oldies video ever seen recorded last year original singers mostly still great jay americans lou christie five satins little richard kathy young little anthony fleetwoods jerry butler lloyd price frankie valli acts guys sing sheer pride love singing shows concert pbs patrons filmed pittsburgh distributed around country donors mention third concert want although amazon notes say black white video actually color well produced producer fact kid years old treats acts greatest respect truly celebrates works dvd also hour excellent interviews
like doowop got dvd,wow saw show pbsthat great tunes seeing groupsterrific could find list songs keepaknockinlittle richard sea cruisefrankie ford thousand starskathi young innocents silhouettes rays love methe contours heardthe duprees songs including little anthony five satins lloyd price skyliners fleetwoods jay americans lou christie plus franki valli jerry butler hosts plus interviews kathi young lou christie producer lubinski
expected,doo wop dvds anxiously waiting rock rhythm doo wop arrive first video featured crme crme 50s groups doo wop clear giant leap forward terms production better lighting better stage layout better sound qualitysadly terms editing went overboard time excessive use prerecorded clapping cheering really irritated times hardly hear singing prerecorded cheering loud imagine stadiums hosting super bowl crammed one theater simply artificial want authentic groups also authentic reaction believe need extra cheering get goosebumps watching wonderful groupsfor whoever edited show would also careful much filming spectators songs make sure look back doo wop better camera angles groupsis dvd worth buying definately groupssingers fred parris satins little anthony imperials little richard limelites jerry butler lloyd price bobby lewis absolutely fantastic contours make worthwhilei hope lubinsky keeps making shows like wonderful experience ages
professional excellence,worked television years tell one finest doowop dvd ever see done class great respect talent congratulations lubinsky producer brought bronx lived era street corner singing advise pick today performance little anthony imperials two kinds people world worth price alone played piece performances great buy fan lubinsky special admiration lucky privileged enough live
marvelous marvelous,people reviewed dvd said great came across concert pbs one night decided buy viewing also bought doo wop doo wop wonderful nostalgic trip past never regret buying dvd
pittsburgh home oldies,doo wop dvd one good better 1st ones remember performers gone never get see rhino excellent job like love doo wop rock roll love dvd
sang subway halls,performance little anthony imperials singing two kinds people acappella worth price admission lost step rest simply gravy
doo wop recorded history must item,get also get dop wop doo wop performances like original except modern nice crisp sound like today cds
rock rythm doowop,excellent excellent performers excellent video audio quality buy dvd back time well worth time waiting almost year get hold dvd
unbelievable best concert,video awesome particular interest anyone grew great music duprees wonderful also jay black cara mia gave goose bumps matter old guys still belt quite song little anthony imperials also good recaputured sounds music way remembered backup musicians deserve huge amount praise one want miss recommend highly
another outstanding performance concert,stated reviews doo wop doo wop show extremely outstanding nearly every way frankly thought little richard appearance little pointless enjoyed frankie ford sea cruise performances seemed little place show seemed like lou christie straining hit high notes times hit especially impressed little anthony imperials acappella performance two kinds people world jay black americans performance cara mia enough make hair back neck stand every time watch wonder back group pure gold appears three shows get performance good excellent addition anyone dvd library notes three shows behind scenes interviews various performers five six doo wop ten doo wop ten twelve one one three bonus tracks performances four listing tracks back dvd case whoever designed put random order appear dvd performance listing appears dvd followskeep knocking little richardsea cruise frankie forda thousand stars kathy young innocentssilhouettes raysdo love contourshave heard belong dupreespeppermint twist joey dee starlightersfor love townsendromeo juliet reflectionslightning strikes lou christietears pillow shimmy shimmy bop two kins people world hurt bad going head little anthony imperialssince fell lenny welchtossing turning bobby lewismr blue come softly fleetwoodsremember believe larry chance earlsdaddy home shep limelightersthis magic moment cara mia jay black americanshe love jerry butler pure goldstagger lee lloyd priceonce chimesthen tell goodbye casinosto aisle still night fred parris satinslet hang frankie valli cast bonus tracks never earlsmy true love dupreescome little bit closer jay black americansfirst look purse contours
outstanding whether either vhs dvd,vhs dvd versions program second everything reviewer wrote used songs school music class 5th 6th graders love first sang songs lyric sheets watched dvd enjoyed much ordered dvd copy students present joining class would suggest ordering dvd version since eight interviews artists program addition six extra songs available vhs version dvd version available pbs singers may older first made songs hits still sing well ever complaint five songs little anthony imperials two would enough maybe second song singers place nevertheless cannot wrong either vhs dvd version prefer dvd since includes extra songs interviews vhs version
far home adventures yellow dog,wellthis goes show blindly accept critics review yellow lab tell pretty realistic yes guess critics would like see gloom doom ending think heard true story one trmendously faithful conpanions carried master half mile back home suffered near fatal heart attack heartwarming story without predictable fantastic views heck critics buy makes feel good need explosions car chases guns provide interesting viewing
spectacular suspenseful family film,cover dvd far home says large letters family feature great family movie make mistake thinking another dog movie case adventures labrador named yellow even adventures young master angus angus acquires yellow dog appears family property apparently lost soon boy dog become firm friends angus yellow marooned wilderness country sinking father ship combined strength required survive rugged coastline vast forests hostile wildlifemost conflict revolves around real struggle elements leading suspenseful heartwarming conclusion along suspense comes excellent convincing characterization adventure story far home ultimately comingofage story angus learns responsibility survival process relationships father dog especially wellportrayedalthough movie clean would recommend movie younger children mainly capacity evoke strong emotions fear grief depth emotion older children adults alike find real tearjerker combined good acting lovely cinematography beautiful rugged british columbia movie definitely drama worth keeping family godly gadfly
