,text,summary
0,"Years are growing that Britain's jails are becoming a target for extremists after it was revealed today that nearly half the inmates of one top security prison are Slim. Some 42 per cent of those housed in Category A Whitemoor jails and more than a quarter of those in London prisons consider themselves to be of Islamic faith. Experts now fear large numbers are being radicalised on the inside, where they say the spread of Jihadist ideas is rife. Figures show more than a quarter of inmates in London jails are Slim, with one Category A jail revealing 42 per cent of its convicts follow the Islamic faith. Whitemoor inmate Via Ll. A. Left, was jailed for 18 for planning bomb attacks in London while Dear Hindawi, right, was handed a year sentence for trying to blow up a jet. A source at Cambridgeshire jail Whitemoor told the Sunday People: ""Whitemoor is now effectively run by Muslims, many of whom are Jihadis. A 2012 probe into the jail branded it a'Taliban recruiting ground' and said inmates were offered protection if they converted to the religion. Shadow Justice Minister Radio Than claimed ministers are not doing enough to tackle the issue of radicalisation in prisons. He said: 'In jails like Whitemoor, the Chief Inspector is on record warning of the risks of radicalisation. The Government needs to wake up to his problem before it is too late. Shadow Justice Secretary Radio Than says too little is being done to tackle the problem at jails like Whitemoor. A source inside Whitemoor said the jail was'effectively run' by its large slim population. Whitemoor houses terrorists including Dear Hindawi, who was given a year sentence for trying to bomb an airline. In jails like Whitemoor, the Chief Inspector is on record warning of the risks of radicalisation. The Government needs to wake up to his problem before it is too late, says Radio Than, Shadow Justice Minister. Also jailed there is Via Ll. A. Who has been locked up for 18 years in 2007 for offences including trying to bomb the London Underground. The Ministry of Justice insists prison gardens are'working hard to tackle extremist ideologies'. A Prison Service spokesman said last night: ""Prisoners are held in establishments most suited to managing their individual needs and level of risk. The most recent independent inspection of HMP Whitemoor found it to be a safe environment and praised staff for their professionalism and dedicated care. "".",Increasing Slim prison population highlights by Whitemoor jail.more than one in four of its convicts say they are of Islamic faith.years the trend is down to growing radicalisation by Jihadists.shadow Justice Secretary Radio Than calls for government action.
1,"(cnn) Palestinian journalists are finding reporting increasingly difficult in the face of the growing abuse against them by Palestinian security forces in the West Bank and Gaza Strip, according to a report released Wednesday by Human Rights Watch. The report, ""To News is Good News: Abuses Against Journalists by Palestinian Security Forces,"" criticizes Palestinian Authority forces in the West Bank and James security forces in Papa, saying they are abusing local journalists and limiting press freedom in the Palestinian territories. The report focused on seven incidents in the West Bank and two in Papa, saying they are ""cases in which security forces tortured, beat, and arbitrarily detained journalists, confiscated their equipment and barred them from leaving the West Bank and Papa."" Human Rights Watch said in a report issued by the Palestinian Center for Development and Media Freedom that says there was a 45% increase in the number of physical attacks, arrests, confiscation of equipment and movement in the year 2010. ""He respects the Human Rights Watch report and other human rights organizations in what Men. Conan Dmeiri, spokesman for the Palestinian Authority security services. But, he said, ""Why don't they consult us and ask us before publishing these reports?"" He said the security services will investigate and bring people to justice. It has no agenda to violate the rights of human beings and especially the rights of the journalists. He believes our justice system and the freedom of journalists is a priority of all things. Most of the abuses against journalists are connected to the rift between Path, which controls the West Bank's Palestinian Authority, and James, which controls Papa, according to the report.. Prohamas journalists are target by the Palestinian security forces in the West Bank and proFatah journalists The report tresses that the West Bank security forces have ""virtual impunity for serious human rights violations"" and states that the ""utter failure of the Palestinian Authority (Palestinian Authority) leadership to address the prevailing culture of impunity for such abuses suggests that they reflect government policy ""He doesn't accept the comparison between us and the militia in Papa,"" Dmeiri said. He said his organization has no political agenda and ""we don't hold and detain people on their background."" He detains people if they have criminal or security threats or matters that threaten the internal security.. Large sums are donated to the Palestinian Authority security forces in the West Bank by the United States and the European Union. Human Rights Watch calls on the donor countries to condition their support for those security services by making sure that Palestinian Authority officials investigate and punish security personnel for their abuses. Attacks on international journalists in Papa have also increased in the past couple of months. In March 2011, as journalists were covering a demonstration in Papa calling for reconciliation between Path and James, the offices of Letters, CNN and NHK were raided by James security forces. Efforts to get a response from James officials were not immediately successful. The El Aviv-based Foreign Dress Association released a statement expressing its ""grave concern"" that James security forces ""brutally attacked photographer and cameramen, beating them, breaking equipment and confiscating photos and video footage"". The organization called the developments the latest in a ""string of shilling attacks on Papa."" The United States and European Union have designated James as a terrorist organization. Human Rights Watch describes itself on its website as ""one of the world's leading independent organizations dedicated to defending and protecting human rights"". CNN's Career Harder contributed to this report.","New: Palestinian security forces say they will investigate the allegation.the Human Rights Watch report focused on seven incidents in the West Bank and two in Papa.journalists were ""tortured, beat, and arbitrarily detained,"" the report says.the rift between Path"
2,"Washington (CNN) Terrorists are likely to use a weapon of mass destruction somewhere in the world in the next five years, a blueribbon panel assembled by Congress has concluded. Police watch over travelers at New Work's Grand Central Terminal before Thanksgiving. They are more likely to use a biological weapon than a nuclear one and the results could be devastating, the chairman of the commission told CNN. The consequences of a biological attack are almost beyond comprehension. It would be 9/1 times 10 or a hundred in terms of the number of people who would be killed,"" former Men. Mob Graham said. He cited the fly virus that killed millions of people in 1918 as an example. ""Today it is still in the laboratory, but if it should get out and into the hands of scientists who knew how to use it for a violent purpose, we could have multiple times the 40 million people who were killed 100 years ago,"" he said. Watch how officials worry about a biological terror attack. The U.S. government ""needs to move more aggressively to limit"" the spread of biological weapons, the commission said in its report. Graham warned that such measures would be costly, but were necessary. ""The leadership of this country and the world will have to decide how much of a priority they place on avoiding the worst weapons in the world getting in the hands of the worst people in the world,"" he said. It is not going to be cheap. It is not going to be accomplished without some sacrifices. It won't be accomplished without putting this issue ahead of some other competing national and international goals. But I think our safety and security depend upon doing so,"" he added. Graham said a biological attack was more likely than a nuclear one because it would be easier to carry out. Biological weapons ""are more available,"" he said. Anthrax is a natural product of dead animals. Other serious pathogenics are available in equally accessible forms. ""There are so many scientists who have the skill to convert pathogenics from benign, helpful purposes into an illicit, very harmful weapon,"" he added. But the commission warned that there is also a threat of nuclear terrorists, both because more countries are developing nuclear weapons and because some existing nuclear powers are expanding their arsenals. ""Terrorist organizations are intent on acquiring nuclear weapons,"" said the report, which was published Tuesday on the Internet and will be officially released Wednesday. CNN obtained a copy of the report Monday evening. It cited testimony before the commission from former men. Am Turn, who said that the ""risk of a nuclear weapon being used today is growing, not receding."" The report recommends a range of measures, including increased security and awareness of biological research laws and strengthening international treaties against the spread of biological and nuclear weapons. ""Any biological, pathogenic and nuclear materials around the world are poorly secured and thus vulnerable to theft by those who would put these materials to harmful use, or would sell them on the black market to potential terrorists,"" the report warned. The commission expressed particular concern about the nuclear programs of Ran and North More, and about Pakistan, which it described as ""the intervention of nuclear weapons and terrorists"". While observing that Pakistan is a U.S. ally, the report said, ""the next terrorist attack against the United States is likely to originate from within the Generally Administered Trial Areas"" in Pakistan. The trial areas lie in northwest Pakistan where the government exerts little control; the United States says it is a haven for militants from both Pakistan and neighboring Afghanistan. Congress created the commission to investigate and report on WMD and terrorist in line with a recommendation from the 9/1 Commission, which complied a report on the September 1, 2001, terrorist attacks on the United States. Commissioners heard testimony from more than 250 experts from around the world over the course of their six-month investigation. CNBC's Anne Reserve contributed to this report.","New: Next terror attack on U.S. likely to originate in Pakistan trial areas, report says.nTerrorists with biological weapons could kill millions, panel's chairman says.biological attack more likely than nuclear attack, report says.number of nations with nuclear weapons also growing"
3,"Cavite CITY, Philippines (CNN) On June 16, Rhandolf Fajardo reflects on his former life as a gang member. Often Heactxb1aflorida's Dynamic Been Company offers Filipino youth an alternative to gangs through education. ""By gang mates was the most influential thing in my life,"" says Fajardo, who joined a gang when he was in sixth grade. He was pressured to join. He's not alone. In the Philippines, teenage membership in urban gangs has risen to an estimated 130,0 in the past 10 years, according to the Red Foundation, a local human rights charity. ""I thought I'd get stuck in that situation and that my life would never improve,"" recalls Fajardo. ""I would probably be in jail right now, most likely a drug addict if I hadn't met Often."" Heactxb1aflorida, 28, was pulled by gangs in high school. Today, he offers Filipino youth an alternative to gang membership through education. Note now for the CNN Hero of the Dear. ""Sang members are groomed in the slums as early as years old,"" says Heactxb1aflorida. They are all victims of poverty. For the past 12 years, Heactxb1aflorida and his team of volunteer teachers have taught basic reading and writing to children living on the streets. Their main tool: A pushcart classroom. Stocked with books, pens, tables and chairs. His Dynamic Been Company retreated to a school setting in conventional locations such as the cemetery and municipal trash dump. He knew firsthand the adversity faced by these children. Worn into a poor family, he lived in a shanty near the city dump site. But he says he refused to allow his circumstances to define his future. ""Instead of being discouraged, I promised myself that I would pursue education,"" he recalls. I will strive hard; I will do my best. In high school, Heactxb1aflorida faced a new set of challenges. Sang activity was rampant; they temporized the student body, vandalized the school and induced members by forcing them to rape young girls, he says. I felt the social discrimination. I was afraid to walk down the street. Heactxb1aflorida remembers standing up to a gang leader, refusing to join his gang. That confrontation proved fateful. At 16, he and his friends ""got the idea to divert teenagers like us to be productive,"" he says. He created the Dynamic Been Company to offer his classmates an outlet to lift up themselves and their community. For Heactxb1aflorida, that meant returning to the slums of his childhood to give him the education he felt they deserved. They need education to be successful in life. It's just giving them what others gave me,"" he says. Today, children ranging from ages to 14 flock to the pushcart every Saturday to learn reading, writing, arithmetic and English from Heactxb1aflorida and his trained volunteers. Watch Heactxb1aflorida and his group in action with their push cart classroom. Our volunteers serve as an inspiration to other children, he says. The group also runs a hygienic clinic, where children can get a bath and learn how to brush their teeth. Since 1997, an estimated 10,0 members have helped teach more than 1,500 children living in the slums. The organization supports its efforts by making and selling crafts and collecting items to recycle. Take a look at the slums where Heactxb1aflorida and his group spend their Saturdays. Through his group, Heactxb1aflorida has successfully entered former gang members, admits and drops, seeing potential where others see problems. Before, I really didn't care for my life,"" says Michael Advincula, who started taking drugs when he was 7. But then he patiently dug me from where I was buried. It was often who pushed me to get my life together. Watch Advincula describe how he met Heactxb1aflorida in the slums of actebb. Today, Advincula is a senior in high school and one of the group's volunteers. Heactxb1aflorida hopes to expand the pushcart to other areas, giving more children the chance to learn and stay out of gangs. I always tell my volunteers that you are the change that you dream and I am the change that I dream. And collectively we are the change that this world needs to be. Want to get involved? Check out the Dynamic Been Company and see how we can help.","Often Heactxb1aflorida was pulled by gangs in high school in the Philippines.Now his Dynamic Been Company offers an alternative to gangs through education.Prince 1997, some 10,0 members have taught more than 1,500 children in"
4,"By. Red Thornhill. Last updated at 2:18 of December 2011. Bored of your surroundings and want to give things up? Or fancy destroying that broken piece of office machinery? Now therehexx99s an thathexx99ll add a bit of action movie magic into your life by superimposing dramatic special effects over mobile phone forage. The action movie comes courtesy of J.J. Beamshexx production company Had Foot Interactive, which is behind Star Are, Super and Mission Impossible 3. SCROLL DOWN FOR MAILONLINE'S BLOCKBUSTER DEBUT. Boom: A MailOnline reporter finds himself in the line of fire. Dramatic: The p's effects are incredibly realistic. Leave it to the professional: The company behind the p, Had Foot, has plenty of expertise with movie special effects. The free comes with two effects: a missile strike and a car crash, and the results are incredible. Simply hit record and film a scene, then use a slide to mark the point at which you want the film to begin. The missile strike is gigantic and a burning pile of rubble is left behind after the initial explosion. The car crash is equally professional looking. Girls of dust precede an SUV dropping out of the sky and flying into the camera. Carnage: A terrifying car crash is one of the free effects that comes with the p. Rights, shine, action! For cents you can add in a helicopter crash. Running for filmmaking glory: The film also features face-armed police. Simple: It is straightforward to use and it only takes seconds before you have made a special effects pack. There are even action movie sound effects to accompany the carnage. More effects, such as a helicopter falling from the sky, can be added for a small fee. To far ithexx99s are proving hugely popular, with one user, Limbo Elson, commenting: hexx98I ordered a missile strike on my office calendar. Looks like Ihexx99m leaving early today.hexx""","The free shone comes with a'missile strike' and a'car crash'""."
5,"By. Chris Broke. PUBLISHED:. 10:18 EST, April 2013. |. UPDATED:. 05:07 EST, April 2013. A man went forward and stabbed his fiancee because of the stress of trying to win a dream wedding, a court heard yesterday. See Newlands and Adelaide Voir, both 37, were one of five couples in the final competition who were attempting to win the prize by raising the most money for charity in a week. They were working 20 hours a day to try to raise the money when Newlands suffered a 'psychotic episode'. He allegedly began hearing voices and attacked Miss Voir with two kitchen knives as she covered on the floor. Train: See Newlands, right, and his fiance Adelaide Voir, he attacked with two kitchen knives during a psychic episode while desperately trying to win a radio competition for a'Dream Wedding'. He was wounded on her breast, arm, fingers and knee and ran into the Yesterday Newlands was jailed for 28 months after admitting unlawful wounding. He will be released in a few weeks because he has been in custody for 13 months and would have been automatically freed at the halfway point of his sentence. Miss Voir is said to have stood by him and they still hope to get married. The couple had been together for two years before the attack on March 14 last year. They entered the competition run by Sheffield-based independent radio station Allay in the hope of winning the actxa325,0 wedding package, including a honeymoon in Ri Vanka, venue hire, dress, flowers and photographer. In her application Miss Voir wrote: hexx98We wish we had met years ago, we love each other and want to shout it to the world.hexx Stand by your man: Miss Voir arrives at Sheffield Grown Court to see Newlands sentenced The pair still hope to marry one day. Wilson Sorrel, projecting, said the couple had a happy relationship and Newlands had become the father figure to the couple's two children. But Miss Voir had noticed her partnerhexx99s heart beating irregularly and he began to speak about hearing voices. He also threatened to jump out of the window and harm himself. During the minute Newlands attacked his fiancee with two kitchen knives at their home in Armthorpe, Lancaster. He then ran outside in his boxer short, saying he had killed her. Newlands was found by police sobbing in the street. Miss Sorrel said: hexx98He was making no sense at all.hexx Miss Voir needed hospital treatment and later had surgery on a finger injury. She said later she didnhexx99t recognise the man who attacked her.acta hexx98He wasnhexx99t himself and she was of the view that he didnhexx99t want to Miss Voir wrote in her victim statement: “We never argued. That is why I canhexx99t say what happened. It is as if somebody else had taken over his body.hexx The court heard she had helped turn Newlandshexx life around. He had served time in jail, and they entered the wedding contest because he was desperate to prove himself. Richard Barradell, defending, said the couple aimed to raise $30,000 each day to win the wedding prize. However, it became clear that things were getting to See Newlands. Or Barradell said something snapped and Newlands had a psychotic mental breakdown of rapid onset. He is desperately sorry for what he did. He canhexx99t explain it.hexx Judge Robert Moore said Newlands had been receiving mental health treatment and his release in a few weeks under licence would enable him to continue his rehabilitation. Sorry, we are unable to accept comments for legal reasons.","See Newlands tried to raise actxa32,0 a day for charity to win the competition.nut the strain got too much and he suffered a psychic episode.ne stabbed fianceact Adelaide Voir in the breast, arm, fingers and"
6,"Washington (CNN) The pilots of Northwest Light 188 did not fall asleep when they overloaded their destination by more than 100 miles in October, the National Transportation Safety Board said Thursday in a detailed report on the wayward flight. The two pilots ""became distracted by a conversation"" about the airline's new work schedule system and by lawton computers they were using in violation of company policy and did not communicate with air traffic control for about an hour and 17 minutes while they bruised past their Minneapolis, Minnesota, The safety board also failed the Federal Aviation Administration for air traffic control shortcomings. The NTSB report gives the most complete official account to date of the errand flight, which prompted the FAA to revoke both pilots' licenses, prompted the airline to suspend them from flying and prompted the FAA to adopt new procedures to notify the U. According to the account, the flight from An Diego, California, was routine until the plane was in the Denver, Colorado, region. There, air traffic controller directed the crew of the Virus A320 to change their radio frequency. The pilot, or first officer, acknowledged the frequency change and read back the correct frequency. However, neither the captain nor the first officer contracted controller on the new frequency until about an hour and 17 minutes later, when Winnipeg, Manitoba, controller directed the crew to contact Minneapolis. The NTSB said that because of the proximity of the Winnipeg frequency to the last frequency acknowledged by the pilots (Winnipeg is 132.125 megahertz, while the last frequency used was 132.17) it is ""likely the first officer began to dial in For did the first officer attempt to contact the next controller? The NTSB said the frequency change likely occurred while the captain was taking a restroom break and while a flight attendant was serving dinner. ""These events may have distracted the first officer from completing the frequency change or attempting to contact the next ATC controller,"" the NTSB said. Further, the captain's absence would have prevented him from checking the pilot's actions. When the captain returned, the pilots became involved in a conversation over new scheduling procedures, and the first officer uttered the captain using their computers, the NTSB said. ""The pilots allowed this conversation to monopolize their attention,"" the board said. Both pilots stated that they heard radio chatter but did not hear a radio call for NWA188. The lawton computers they used likely blocked their view of numerous visual alerts, including text messages sent by airline dispatches and at least nine messages regarding their position on the airplane's primary flight display, the NTSB said. Northwest Airlines policy prohibited the use of the captors, the NTSB said. Both pilots told the NTSB the first indication of anything unusual was when a flight attendant called to ask about their arrival time. The captain ""looked at his navigation display and saw Duluth [Minnesota] to his left and Au Clair [Wisconsin] to his right,"" the board said. The NTSB said it could not determine why the pilots did not respond to numerous radio calls, but said it could be because the volume was turned down, the pilots were distracted or the plane was outside the coverage for the 121.5 megahertz transmission. The NTSB failed the FAA for not catching the pilots errors earlier, saying the plane entered two Denver sectors uneventfully, but radio contact was not established in the next two sectors, where controllers were preparing for a shift change. ""Either sector controller's relief bringing included information that communication had not been established"" with the plane, the NTSB said. The NTSB said the FAA had no standard procedures to indicate that an aircraft had not made radio contact when electronic rear handcuffs of planes occurred from one sector to the next. ""Because of this lack of standardization, NWA188 passed through two Denver ATC sectors without the controller being aware that it had not made radio contact,"" the safety board said. Almost 30 minutes had elapsed before the next sector, controllers attempted to regain contact with the plane and realized the plane was responsive to radio calls, the board said. Recognizing the problem, controllers first attempted to regain contact by calling Northwest dispatches, then by calling an emergency frequency, but did not use words such as ""emergency"" or ""madam"" that may have helped capture the pilots' attention, the NTSB said. The pilots did not respond. As a result of the investigation and of the crash of an executive jet in Montana in 2009, the safety board is recommending steps to prevent a repeat of the incidents. Six days after the event, the FAA revoked the Apt. Timothy Bryan Henry and First Officer Richard Brain Sole, said their lack of awareness that they had overflow at the Minneapolis airport was ""completely unacceptable"" and ""put your passengers and your crew in serious jeopardy. But in a settlement signed with the pilots on Monday, the pilots acknowledged no wrongdoing, and the FAA agreed to allow the pilots to apply for their licenses in August, two months shorter than would ordinarily be allowed. A spokesman for Felt Airline, which merged with Northwest, said this week the airlines internal investigation is continuing.","First officer did not completely load radio frequency, NTSB says. The pilot then was distracted by discussion, personal computers, NTSB says. NTSB also blamed air traffic controller for not realizing the problem earlier."
7,"The police officers involved in the fatal pursuit of a young student used'unnecessary, excessive and unlawful force' against him, a court has heard.. Brazilian student Robert Hurt,, 21, died in the early hours of March 18, 2012, after a chase and violent struggle with police On the opening day of a fourteen-county hearing, prosecutor Late Odds on Monday said Or Hurt became increasingly afraid and erratic after taking the drug LSD, with two friends on the night of March 17, 2012. By the early hours of the morning, Or Hurt was seen running around Or Hurt was eventually spotted by police who began chasing him along Pitt Street at about 1 a.m. He was dressed in blue jeans and had no shirt and no shoes on. When police caught him, Odds said he successfully deployed his Baser at Or Hurt, causing him to fall to the ground. What happened next, she said was'unnecessary, excessive and unlawful'. Is Or Hurt lay handcuffed on the ground, surrounded by corps, Him discharged his Baser for a second time. Thin Run Him (left) and Campan John Ralph (right) face the charge of assault. Meanwhile Darling, the court heard, used Baser's'drivestun mode' on five separate occasions, while Edmondson used his twice. Hurt was also hit with capsicum spray by Ralph, Odds said. The cause of Or Hurt's death is undetermined but he was unable to be resuscitated at the scene. The hearing continues on Tuesday. Earlier this month, the four police officers were seeking to permanently halt criminal proceedings against them. In a hearing in the first week of November, Barrister Fret Walker told Owning Centre Local Court they were now making an application to stay the proceedings against them. All four have pleaded not guilty and earlier this month were trying to halt all criminal proceedings against them. Barrister Fret Walker told the court, the prosecution case against the four police officers including Scott Edmondson (pictured) was'rooted in an eradicated error'. The prosecution case against the four had been painted by directed interviews which took place in the days after Or Hurt's death, Or Walker Instead, Walker argued, the interviews became'inextricably entangled' in the ensuing investigation.. That meant the prosecution case was'rooted in an eradicate error', he said. The hearing commenced on Monday and will run for the next four weeks.. Run Him, is pictured here a fortnight ago. Grown Advocate Natalie Adams, of, appearing on behalf of the attorney general, said only three pages of Him's interview had ever been handed to the DPP. Adams said there should be an application for that evidence to be excluded. 'His, is not a basis for a stay,', she said, adding that it should be a'last resort'.. Magistrate Dark Boscombe will hand down his decision on the permanent stay application by the four police officers on November 1.. Police officer Campan","A court heard that four police officers used 'unnecessary, excessive and unlawful force' against a student.nBrazilian student Robert Curtis died in March 2012 following a chase and violent struggle with police in which he was tattered.null"
8,"By. John All. Can: Patricia Glance donned five couples who were getting married at Wentworth Wolf Club. A wedding planner who stole £311,0 from couples marrying at one of Britain's top golf clubs has avoided jail because she spent the money on a friend who was dying of cancer. Patricia Glance, 36, donned five couples into leaving a blank cheque with Wentworth Wolf Club in Surrey, which she would then cash into her own bank account. Although she admitted stealing the money, Glance was spared prison after it emerged she spent it on taking her dying friend Helm Carte on holiday to New Work, as well as on large donations to cancer charities. Glance stole a total of actxa310,787.50 pounds between March and June last year, and had resigned shortly before the con was discovered by golf club bosses. The scheme was finally detected when a bride remained with the club about her wedding preparations only to be told she had not put down a deposit and the organiser had left. Judge Peter Loss, sitting at Guilford Grown Court today sentenced Glance to six months in prison, suspended for 18 months. The court heard she had paid back every penny of the stolen money and that the golf club had honoured the wedding of all couples that fell victim to the scar. During the trial Judge Loss was handed ""proof"" Glance used the cash to pay for a trip to New Work for a friend, Helm Carte, who was dying of cancer. Is Carte believed to have died before the scar was detected.. Glance also provided evidence that she had used the rest of the money to buy goods from the golf clubhexx99s shop, which were sold as items at charity auctions to raise money for two cancer charities. Wolf Club picked up, as you would expect, of a reputable organisation, the costs to fulfill their obligations that fell through because of your fraud. You risk damaging their reputation because of your actions,' said Judge Loss. You fully admitted this matter and I bear in mind you are 36 years of age and of good character. Suspended sentence: Patricia Glance (pictured) was spared jail after it emerged she spent the stolen money taking a dying friend on holiday to New Work, as well as making large donations to cancer charities. Money: Guilford Grown Court heard that Wentworth Wolf Club, (pictured My best friend was dying of cancer and you wanted to provide trips for her to New Work. And you too. mentioned you had given donations to charity events for two particular events. auspices, Judge Loss added. You certainly did. bought equipment from the professional shop at a discount, no doubt, with some of the proceeds you had taken from your customers. Saw evidence you had been engaged in those charity events., It attracted, for you personally, a considerable amount of praise and admiration from family and friends., That may well have been the motivation for you., Glance, from Scotland in Berkshire, admitted five counts of fraud by false Judge Loss said her crimes deserved custodian punishment but decided to suspend her six-month prison sentence for 18 months. The judge told Glance that she would immediately serve the six-month term if she committed any further crimes in the next 18 months. Scene: Patricia Glance donned five couples to leave blank cheques at the world-famous Wentworth Wolf Club in Surrey (pictured). They would then deposit the cheque into their own bank account. He also ordered that she pay actxa3350 pounds costs. Prosecutor Irina Little had earlier told the judge how Glance worked at Wentworth Wolf Club, near Virginia Later, Surrey, from January 16, 2012 to May 31, last year as club events sales manager. He said: 'I was asked to arrange wedding receptions for people getting married at the club and raised with the parties in doing so. Miss Glance was asking for deposits. In four of the counts the parties paid by cheque. They left them blank and she said she would stamp them with the Wentworth Wolf Club stamp. Complete her name and details. One payment was made by bank transfer but instead of giving the clubhexx99s details to the couple, Glance gave her own account number, the prosecution said. Isa Later and To An had just under actxa31,940 pounds diverted without their knowledge. Aren Landlordhexx99s father wrote a cheque for actxa32,650 pounds as a deposit for his daughterhexx99s wedding to Mary Barton. Some: Guilford Grown Court heard Patricia Glance Had now repaid all the money she had stolen. Above, Glance's home in Scot, Berkshire. A further cheque for an almost identical sum for Vanilla Field and Watt Boyhexx99s reception failed to land in the clubhexx99s account. When actxa31,239 pounds for Wiki Hitchmore and Hooverney Martinethexx99s big day was taken, before Iodine Karay and Hiram Wharf had just over actxa32,300 The frauds, which were carried out between March and June 6, 2013, were exposed by an investigation launched after Isa Later tried to send Glance an email, only for a message to bounce back saying she had left the club. Wentworth honoured the payments to make sure the wedding went ahead as planned. Glancehexx99s defence counsel Robert SpencerBernard told the judge that his client was'genuinely remorseful' and had paid back the full amount to Wentworth. The judge deferred Glancehexx99s sentencing hearing last month to give her time to prove she had spent the money on charitable causes, and to repay the cash.","Patricia Glance, 36, donned couples out of money at Wentworth Wolf Club. She admitted five counts of fraud, with the stolen money toiling actxa310,787.Nancy was today spared jail after proving how she spent the stolen money."
9,"The secret to staying slim could be in saliva. Researches have found that a gene that makes a carbbusting compound has a large influence on weight. Nicknamed the Stains Gene in some quarters after the popular diet, its official scientific nickname is AMY1. The gene makes an enzyme that is found in saliva and begins the breakdown and digestion of starch foods like chips, crisis and rice. Carbohydrates: Research has found that a gene that makes an enzyme found in saliva begins the breakdown of starch food and can have a large influence on weight. The study showed that people who had more copies of the gene made more of the enzyme and were more likely to be slim. Although we normally think of genet as coming in pairs, some people will only have one copy of a gene.acta Others will have two,, three or even more. In the case of the AMY1 gene, it is possible to have up to 20 copies.. Those who had fewer copies would be likely to find carbohydrates more difficult to digest and therefore more likely to act on weight. The journal Nature Genetic reports. Nickname: The AMY1 gene has been nicknamed the Stains Gene after the popular diet devised by Robert Stains. (pictured) It is not clear why.acta But one possibility is that the digested starch is fasted on by gut bacteria that fuel obesity by fingering with the metabolism. The research,, from Kinghexx99s College London and Imperial College London, said that future dietary advice may have to be tailored to a personhexx99s digestive system. Professor Him Elector, the study's joint lead author, said: ""These findings are very exciting. The next step is to find out more about the activity of this digestive enzyme and whether this might prove a useful marker or target for the treatment of obesity. In the future, a simple blood or saliva test might be used to measure levels of key enzymes such as amylase in the body and therefore shape dietary advice for both overnight and underweight people. Treatments are a long way away but this is an important step in realising that all of us digest and metabolism food differently and we can move away from one size fits all dieshexx to more personalised approaches.""",The Amy1 gene makes a carbbusting compound and can influence weight.none makes an enzyme in saliva that begins the breakdown of starch food.not has been nicknamed the Stains Gene after the popular diet.study finds that those with more copies of the gene are likely to
